pool_id,dex,percentage
0xeba82797401d219483070817f1d82a445837a220,bnb__pancakeswap__3,10.9
0xc8255e3fa0f4c6e6678807d663f9e2263e23a8e8,bnb__pancakeswap__3,10.9
0x18cade88fa916c0376416a311f5649950fe4e9a5,bnb__pancakeswap__3,10.9
0xc7d4d8b8d88e70d0b91aa74a231af8fbdf8d2cb4,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x757ca86a9e581561ecc2d50201a5bb0ffc265695,bnb__pancakeswap__3,10.9
0x467d1de19495fa31a758118ffa4e80f4732a53fa,bnb__pancakeswap__3,10.9
0x16969fa79651bae11736f2f6576a86fe2726b42b,bnb__pancakeswap__3,10.9
0x9f599f3d64a9d99ea21e68127bb6ce99f893da61,bnb__pancakeswap__3,10.9
0xa62fdd52ae4c9ca11d6c4e328e8f6a9db218e452,bnb__pancakeswap__3,10.9
0x638d898cae019a055d8e061ece5c4ab2a687fa67,bnb__pancakeswap__3,10.9
0x71cd938b95ad63cb724b986bd7628558a6af5bb1,bnb__pancakeswap__3,10.9
0x2c561ef07b5dc44aef1eb20e9ce748b7bd3eae54,bnb__pancakeswap__3,10.9
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb__pancakeswap__3,10.9
0x99258c34e99fec94ee4a19b8e601e59debaebc03,bnb__pancakeswap__3,10.9
0x65d4588873c7cbc862a8778d9bbf9d40ffd7d973,bnb__pancakeswap__3,10.9
0xa06261529e36f7f702e2c9764905e27f93237286,bnb__pancakeswap__3,10.9
0x9397f7126fc04e2d444105eca3c92fe577e52ff9,bnb__pancakeswap__3,10.9
0xd87139de78f952023285ddfc322daa49a8afeba4,bnb__pancakeswap__3,10.9
0xacea9ac0409846584962e02b3fbf17795e36c6c1,bnb__pancakeswap__3,10.9
0x43a2beea7cfc7b06e6736a05299dd329aee6bd03,bnb__pancakeswap__3,10.9
0x8ba9ec5737fdcb0e472c207befe775ca94386e91,bnb__pancakeswap__3,10.9
0x57198fd3a7aae1a50e0388eac9f04ce3d67ecdc2,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0xee42959c3324e541159e857fb0aa7f3d7d779862,bnb__pancakeswap__3,10.9
0x62edaf2a56c9fb55be5f9b1399ac067f6a37013b,bnb__pancakeswap__3,10.9
0x2fdf9b25df26e81598c09ef7482a82e2ec6eb68c,bnb__pancakeswap__3,10.9
0x6bbc40579ad1bbd243895ca0acb086bb6300d636,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0xb2af49dbf526054faf19602860a5e298a79f3d05,bnb__pancakeswap__3,10.9
0x75287708d9c1ea4a4a9f95750dd91352a1e2c693,bnb__pancakeswap__3,10.9
0x36ec5a59f1c4dcde922fcdfb8d2f97fffd16a4dd,bnb__pancakeswap__3,10.9
0x6701b287c8170d6c290c6f4ef426782bd61ae310,bnb__pancakeswap__3,10.9
0x1d519280255d5d90f469f79dc8f5abe05f64429f,bnb__pancakeswap__3,10.9
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb__pancakeswap__3,10.9
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb__pancakeswap__3,10.9
0xc42d593e225464655e4d43772d3e16d8a54f971c,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
